"GEOID","NAME","households","total_pop","white","black","asian","american_indian_alaska_native","hawaian_pacific_island","hispanic"
"060650304001","Block Group 1, Census Tract 304, Riverside County, California",494,1754,584,152,51,23,2,1179
"060650304002","Block Group 2, Census Tract 304, Riverside County, California",508,1430,315,221,34,42,3,977
"060650304004","Block Group 4, Census Tract 304, Riverside County, California",258,1045,219,82,17,39,1,858
"060650304005","Block Group 5, Census Tract 304, Riverside County, California",446,1800,288,51,15,38,1,1631
"060650305011","Block Group 1, Census Tract 305.01, Riverside County, California",534,1434,205,162,90,34,4,1048
"060650305012","Block Group 2, Census Tract 305.01, Riverside County, California",275,1136,192,174,45,28,4,788
"060650305013","Block Group 3, Census Tract 305.01, Riverside County, California",704,2318,547,322,183,21,5,1413
"060650305021","Block Group 1, Census Tract 305.02, Riverside County, California",263,1066,200,63,5,63,6,887
"060650305022","Block Group 2, Census Tract 305.02, Riverside County, California",259,1054,123,49,20,30,3,927
"060650305032","Block Group 2, Census Tract 305.03, Riverside County, California",463,1680,235,73,35,66,7,1476
"060650305031","Block Group 1, Census Tract 305.03, Riverside County, California",258,916,130,50,12,49,8,749
"060650305033","Block Group 3, Census Tract 305.03, Riverside County, California",406,1151,143,144,16,105,9,881
"060650306022","Block Group 2, Census Tract 306.02, Riverside County, California",564,1326,889,55,72,0,3,294
"060650306021","Block Group 1, Census Tract 306.02, Riverside County, California",493,1296,831,53,39,13,3,328
"060650306023","Block Group 3, Census Tract 306.02, Riverside County, California",266,712,497,22,29,5,1,140
"060650306032","Block Group 2, Census Tract 306.03, Riverside County, California",301,887,627,21,24,5,1,191
"060650306031","Block Group 1, Census Tract 306.03, Riverside County, California",552,1552,1044,25,47,13,3,429
"060650306033","Block Group 3, Census Tract 306.03, Riverside County, California",258,742,533,18,13,2,3,182
"060650306042","Block Group 2, Census Tract 306.04, Riverside County, California",684,1950,1220,105,273,9,3,381
"060650306041","Block Group 1, Census Tract 306.04, Riverside County, California",328,898,616,27,33,8,2,230
"060650306051","Block Group 1, Census Tract 306.05, Riverside County, California",935,2630,1440,175,358,11,6,631
"060650307002","Block Group 2, Census Tract 307, Riverside County, California",625,1643,622,114,34,24,11,1002
"060650307005","Block Group 5, Census Tract 307, Riverside County, California",396,1181,722,43,25,23,0,396
"060650307001","Block Group 1, Census Tract 307, Riverside County, California",537,1277,882,18,30,25,0,421
"060650307003","Block Group 3, Census Tract 307, Riverside County, California",371,933,569,16,13,13,3,333
"060650307004","Block Group 4, Census Tract 307, Riverside County, California",311,808,451,34,32,6,4,329
"060650308003","Block Group 3, Census Tract 308, Riverside County, California",684,1819,752,195,32,21,12,970
"060650308006","Block Group 6, Census Tract 308, Riverside County, California",710,2084,873,113,122,23,10,1052
