"GEOID","NAME","H1_001N"
"06013307202","Census Tract 3072.02, Contra Costa County, California",1638
"06013307204","Census Tract 3072.04, Contra Costa County, California",1366
"06013307205","Census Tract 3072.05, Contra Costa County, California",2796
"06013308001","Census Tract 3080.01, Contra Costa County, California",2624
"06013308002","Census Tract 3080.02, Contra Costa County, California",1607
"06013309000","Census Tract 3090, Contra Costa County, California",1425
"06013310000","Census Tract 3100, Contra Costa County, California",1855
"06013311000","Census Tract 3110, Contra Costa County, California",1629
"06013312000","Census Tract 3120, Contra Costa County, California",961
"06013313102","Census Tract 3131.02, Contra Costa County, California",1570
"06013313104","Census Tract 3131.04, Contra Costa County, California",1065
"06013313105","Census Tract 3131.05, Contra Costa County, California",2322
"06013313106","Census Tract 3131.06, Contra Costa County, California",1929
"06013313107","Census Tract 3131.07, Contra Costa County, California",945
"06013313203","Census Tract 3132.03, Contra Costa County, California",1023
"06013313204","Census Tract 3132.04, Contra Costa County, California",1885
"06013313205","Census Tract 3132.05, Contra Costa County, California",524
"06013313206","Census Tract 3132.06, Contra Costa County, California",1724
"06013314102","Census Tract 3141.02, Contra Costa County, California",1936
"06013314103","Census Tract 3141.03, Contra Costa County, California",1630
